"","n.interactions","average.length"
"1",264,188.626893939394
"2",235,129.034042553191
"3",220,258.513636363636
"4",218,120.633027522936
"5",207,182.5
"6",202,156.57095709571
"7",199,225.169179229481
"8",195,149.420512820513
"9",194,173.381443298969
"10",192,431.65625
"11",191,167.609947643979
"12",190,159.971052631579
"13",188,208.473404255319
"14",185,171.372972972973
"15",183,196.453551912568
"16",178,214.005617977528
"17",177,229.415254237288
"18",175,183.388571428571
"19",171,184.616959064327
"20",170,210.358823529412
"21",169,237.041420118343
"22",167,327.823353293413
"23",163,147.883435582822
"24",162,225.814814814815
"25",161,131.944099378882
"26",158,245.094936708861
"27",157,215.216560509554
"28",156,168.400641025641
"29",153,136.59477124183
"30",152,223.633771929825
"31",151,134.609271523179
"32",150,463.32
"33",147,129.979591836735
"34",146,156.5
"35",144,273.131944444444
"36",143,203.641025641026
"37",142,139.021126760563
"38",141,197.258865248227
"39",140,335.825
"40",138,240.63768115942
"41",137,178.60097323601
"42",136,175.974264705882
"43",133,143.063909774436
"44",131,401.812977099237
"45",130,353.165384615385
"46",129,217.852713178295
"47",126,325.361111111111
"48",125,227.008
"49",124,196.126344086022
"50",123,305.026422764228
"51",121,132.636363636364
"52",120,220.758333333333
"53",118,198.550847457627
"54",117,151.726495726496
"55",116,251.655172413793
"56",115,224.165217391304
"57",114,255.333333333333
"58",110,243.209090909091
"59",109,172.018348623853
"60",108,255.314814814815
"61",105,143.285714285714
"62",104,157.105769230769
"63",103,225.223300970874
"64",102,241.205882352941
"65",101,235.017326732673
"66",100,204.315
"67",99,197.276094276094
"68",98,224.102040816327
"69",97,205.659793814433
"70",96,189.411458333333
"71",95,256.873684210526
"72",94,264.031914893617
"73",93,222.354838709677
"74",92,150.239130434783
"75",91,155.340659340659
"76",90,140.322222222222
"77",89,274.294943820225
"78",88,222.204545454545
"79",87,282.011494252874
"80",86,184.656976744186
"81",85,257.758823529412
"82",84,161.404761904762
"83",83,127.759036144578
"84",82,203.073170731707
"85",81,248.271604938272
"86",79,208.223628691983
"87",77,301.538961038961
"88",75,249.226666666667
"89",74,247.364864864865
"90",73,156.72602739726
"91",72,222.25
"92",70,266.128571428571
"93",69,222.806763285024
"94",68,193.702205882353
"95",67,148.333333333333
"96",66,245.590909090909
"97",65,197.230769230769
"98",64,200.979166666667
"99",62,211.362903225806
"100",61,138.081967213115
"101",60,164.516666666667
"102",59,143.822033898305
"103",57,193.416666666667
"104",56,230.64880952381
"105",55,358.018181818182
"106",54,126.518518518519
"107",53,548.462264150943
"108",52,176.519230769231
"109",51,582.06862745098
"110",50,268.56
"111",49,255.571428571429
"112",48,132.958333333333
"113",47,298.496453900709
"114",46,243.528985507246
"115",45,176.322222222222
"116",44,236.840909090909
"117",43,304.744186046512
"118",42,112.761904761905
"119",41,527.951219512195
"120",40,629.303571428571
"121",39,250.705128205128
"122",38,668.092105263158
"123",37,422.918918918919
"124",36,348.657407407407
"125",35,266.171428571429
"126",34,259.308823529412
"127",33,272.872727272727
"128",32,270.839285714286
"129",31,411.45564516129
"130",30,229.358333333333
"131",29,342.249042145594
"132",28,784.875
"133",27,534.41975308642
"134",26,359.153846153846
"135",25,358.325
"136",24,516.458333333333
"137",23,324.497584541063
"138",22,365.618181818182
"139",21,357.428571428571
"140",20,402.75
"141",19,426.55023923445
"142",18,409.72962962963
"143",17,385.826625386997
"144",16,452.380208333333
"145",15,350.669444444444
"146",14,411.731292517007
"147",13,410.296703296703
"148",12,455.649425287356
"149",11,477.751196172249
"150",10,491.865384615385
"151",9,738.900584795322
"152",8,543.47
"153",7,675.84962406015
"154",6,647.676245210728
"155",5,778.363636363636
"156",4,860.211956521739
"157",3,978.311363636364
"158",2,1174.99906803355
"159",1,1480.08202080238
