"","X.tax_id","chromosome","chr_start","chr_stop","chr_orient","contig","ctg_start","ctg_stop","ctg_orient","feature_name","feature_id","feature_type","group_label","transcript","evidence_code"
"1871638",9606,"20",44619519,44651758,"-","NC_000020.11",44619519,44651758,"-","ADA","GeneID:100","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"555032",9606,"11",70072434,70075348,"-","NC_000011.10",70072434,70075348,"-","ANO1-AS2","GeneID:100009613","GENE","GRCh38.p7-Primary Assembly","-",""
"370190",9606,"10",68009947,68010883,"-","NC_000010.11",68009947,68010883,"-","POU5F1P5","GeneID:100009667","GENE","GRCh38.p7-Primary Assembly","-",""
"2116031",9606,"3",101676430,101679217,"+","NC_000003.12",101676430,101679217,"+","ZBTB11-AS1","GeneID:100009676","GENE","GRCh38.p7-Primary Assembly","-",""
"175329",9606,"1",147993862,148014956,"-","NC_000001.11",147993862,148014956,"-","PDZK1P1","GeneID:100034743","GENE","GRCh38.p7-Primary Assembly","-",""
"419125",9606,"10",101089321,101141266,"-","NC_000010.11",101089321,101141266,"-","TLX1NB","GeneID:100038246","GENE","GRCh38.p7-Primary Assembly","-",""
"2927769",9606,"9",21994791,22121097,"+","NC_000009.12",21994791,22121097,"+","CDKN2B-AS1","GeneID:100048912","GENE","GRCh38.p7-Primary Assembly","-",""
"2373223",9606,"5",71220226,71259295,"-","NC_000005.10",71220226,71259295,"-","GUSBP9","GeneID:100049076","GENE","GRCh38.p7-Primary Assembly","-",""
"623230",9606,"12",630891,645878,"+","NC_000012.12",630891,645878,"+","LOC100049716","GeneID:100049716","GENE","GRCh38.p7-Primary Assembly","-",""
"1543512",9606,"19",56840902,56848554,"+","NC_000019.10",56840902,56848554,"+","MIMT1","GeneID:100073347","GENE","GRCh38.p7-Primary Assembly","-",""
"2290667",9606,"4",118278762,118279823,"+","NC_000004.12",118278762,118279823,"+","SNHG8","GeneID:100093630","GENE","GRCh38.p7-Primary Assembly","-",""
"2707532",9606,"7",73154924,73207296,"+","NC_000007.14",73154924,73207296,"+","GTF2IP4","GeneID:100093631","GENE","GRCh38.p7-Primary Assembly","-",""
"3049525",9606,"X",13310652,13319933,"+","NC_000023.11",13310652,13319933,"+","GS1-600G8.3","GeneID:100093698","GENE","GRCh38.p7-Primary Assembly","-",""
"3141893",9606,"Y",6443434,6447077,"+","NC_000024.10",6443434,6447077,"+","TTTY21B","GeneID:100101115","GENE","GRCh38.p7-Primary Assembly","-",""
"3141876",9606,"Y",6390401,6411564,"+","NC_000024.10",6390401,6411564,"+","TTTY1B","GeneID:100101116","GENE","GRCh38.p7-Primary Assembly","-",""
"3141882",9606,"Y",6406244,6428444,"-","NC_000024.10",6406244,6428444,"-","TTTY2B","GeneID:100101117","GENE","GRCh38.p7-Primary Assembly","-",""
"3141906",9606,"Y",6471031,6473630,"-","NC_000024.10",6471031,6473630,"-","TTTY8B","GeneID:100101118","GENE","GRCh38.p7-Primary Assembly","-",""
