"","interactions","mean.similarity","mean.expected.value","mean.query.length","mean.mismatches","mean.gaps","mean.bitscore","log.interactions","log.length","log.bitscore"
"NR_111980.1",1698,86.3728621908127,2.80651436523015e-33,256.366313309776,31.469964664311,2.29740871613663,216.571849234393,7.43720636687129,5.54660733306776,5.37792235952028
"NR_109996.1",1214,86.3633360790774,1.91640472157427e-32,235.055189456343,30.1268533772652,1.2174629324547,196.138385502471,7.10167597161944,5.4598203353219,5.27882045857754
"NR_027671.2",1131,86.2138638373121,7.17284159887045e-33,257.427055702918,30.684350132626,1.74889478337754,226.95225464191,7.03085747611612,5.55073640114915,5.42473966338457
"NR_134867.1",1102,87.5281941923775,1.08850939399633e-32,232.129764065336,26.8638838475499,1.11524500907441,218.795825771325,7.00488198971286,5.44729654316861,5.38813899253826
"NR_037921.1",989,86.2456825075834,7.05772891213966e-33,258.826086956522,31.8786653185035,1.52780586450961,223.733063700708,6.89669433162271,5.55615635722424,5.41045366133238
"NR_027130.1",976,85.8019774590164,1.60436156286452e-32,289.847336065574,38.6116803278689,1.77151639344262,232.472336065574,6.88346258641309,5.6693543570089,5.44877123328398
"NR_110837.1",970,85.6696494845361,1.46807040593187e-32,241.703092783505,32.3938144329897,1.49587628865979,194.077319587629,6.87729607149743,5.48771008358746,5.26825663423696
"NR_110049.2",960,85.7254270833333,1.44958427481423e-32,243.721875,32.0625,1.72083333333333,195.74375,6.86693328446188,5.49602771860526,5.27680640588098
"NR_002728.3",880,87.1784431818182,3.03967412249746e-33,364.655681818182,31.5602272727273,1.53977272727273,429.401136363636,6.77992190747225,5.89895357087523,6.06239153183996
"NR_002791.2",880,86.1830113636364,1.92951086229578e-33,263.725,33.4068181818182,1.50681818181818,229.004545454545,6.77992190747225,5.57490689356787,5.43374185250373
"NR_110974.1",874,86.0433066361556,8.2146420263807e-33,254.407322654462,31.7494279176201,1.88329519450801,215.967963386728,6.77308037565554,5.53893661507083,5.37513007902998
"NR_104348.1",873,87.0987285223368,2.06454310543627e-33,274.657502863688,30.8396334478809,1.35853379152348,269.758304696449,6.7719355558396,5.61552487732444,5.59752639030549
"NR_034022.1",862,86.57186774942,6.8979316773086e-33,287.002320185615,32.3132250580046,2.36426914153132,265.063805104408,6.75925527066369,5.65949029999738,5.57997057098372
"NR_028453.1",858,85.8319347319347,6.9895915255249e-33,254.527972027972,32.9463869463869,1.77039627039627,209.495337995338,6.75460409948796,5.53941073968757,5.34470148610904
"NR_003262.1",831,86.8988327316486,8.42895537313835e-33,242.096269554753,28.3622141997593,1.88447653429603,218.963898916968,6.72262979485545,5.48933545512952,5.38890687110005
"NR_110905.1",813,86.8349200492005,8.25852298030527e-33,236.522755227552,29.3813038130381,1.51045510455105,207.464944649446,6.70073110954781,5.46604441991045,5.33496238395009
"NR_037928.1",811,86.2015659679408,3.6934916639495e-33,255.643649815043,31.7324290998767,1.46239210850801,223.668310727497,6.69826805411541,5.54378448184744,5.41016419877207
"NR_110802.1",791,87.0710113780025,1.13067639057312e-32,218.72819216182,27.3286978508217,1.18457648546144,193.8798988622,6.67329796776765,5.38782982729351,5.2672388893255
"NR_037916.1",780,87.2479487179487,4.15432172361842e-33,259.805128205128,29.1538461538462,1.92435897435897,244.775641025641,6.65929391968364,5.55993184309145,5.50034204007295
"NR_033417.1",777,86.6920978120978,3.97017090076563e-33,242.870012870013,28.8249678249678,1.35778635778636,221.45045045045,6.65544035036765,5.49252637375549,5.40019886446265
"NR_120386.1",775,87.0185032258064,6.65124864185433e-33,230.935483870968,28.2658064516129,1.16129032258065,211.051612903226,6.65286302935335,5.44213838091104,5.35210271447946
"NR_121658.1",766,86.4397127937337,4.52522334084915e-33,254.781984334204,31.2558746736292,1.69712793733681,219.335509138381,6.64118216974059,5.54040821607349,5.39060256269181
"NR_033289.1",764,86.4602094240838,7.12626977095732e-33,260.280104712042,31.7133507853403,1.30759162303665,236.571989528796,6.63856778916652,5.56175837693207,5.46625255708368
"NR_103777.1",734,86.98310626703,1.00670986425685e-32,228.529972752044,27.767029972752,1.66348773841962,201.159400544959,6.59850902861452,5.43166737351337,5.30409763130807
"NR_024461.1",722,87.9690304709141,1.8222623493882e-32,209.894736842105,23.8739612188366,1.20637119113573,204.619113573407,6.58202513889283,5.34660615191529,5.32115026837909
"NR_136715.1",715,85.5131608391608,1.29888890479194e-32,249.325874125874,30.020979020979,2.17762237762238,203.847552447552,6.57228254269401,5.5187607722514,5.31737242255866
"NR_134677.1",702,86.8735754985755,9.12233226415935e-34,257.97150997151,29.9316239316239,1.87321937321937,232.569800569801,6.55393340402581,5.55284915235715,5.44919039747567
"NR_133680.1",697,85.938737446198,6.96738343552366e-33,240.67862266858,31.2395982783357,1.30416068866571,203.87087517934,6.54678541076052,5.48346252766908,5.31748682863026
"NR_040546.1",691,87.2584370477569,3.66126750043825e-33,248.947901591896,29.0564399421129,1.61215629522431,231.603473227207,6.53813982376767,5.51724364401831,5.44502674224963
"NR_110005.1",687,86.453770014556,1.65606669703221e-32,249.486171761281,30.9315866084425,0.988355167394469,221.170305676856,6.53233429222235,5.51940348985314,5.39893301866972
"NR_024348.1",683,85.3117715959004,4.95358050255264e-33,242.922401171303,33.5373352855051,1.22254758418741,192.032210834553,6.52649485957079,5.4927420555981,5.25766312272015
"NR_120424.1",678,86.7736578171091,4.68373035563354e-33,242.309734513274,28.759587020649,1.92330383480826,214.427728613569,6.5191472879404,5.49021680247265,5.36797275205409
"NR_135753.1",674,87.388709198813,2.10291862161956e-33,270.078635014837,30.2893175074184,1.59347181008902,262.151335311573,6.51323011091231,5.5987131573917,5.56892195269839
