source	target	similarity	repet	variance
NR_033708.1|non-coding_RNA|KIAA0495|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	86.720	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	100.000	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038862.1|non-coding_RNA|LOC339902|Nosynon	92.090	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033928.1|non-coding_RNA|LOC389641|Nosynon	89.470	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110017.1|long_non-coding_RNA|LOC101929694|Nosynon	88.700	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_102401.1|long_non-coding_RNA|DNAH17-AS1|Nosynon	88.460	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_103831.1|long_non-coding_RNA|FLJ31356|Nosynon	88.560	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_039999.1|non-coding_RNA|LOC100507501|Nosynon	87.870	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038859.1|long_non-coding_RNA|LINC00311|Nosynon	88.390	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135551.1|long_non-coding_RNA|LOC101929130|Nosynon	87.710	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038444.1|long_non-coding_RNA|ENTPD1-AS1|Nosynon	88.550	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_073111.1|non-coding_RNA|SERPINB1|Nosynon	87.550	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_037928.1|non-coding_RNA|P2RX5-TAX1BP3|Nosynon	86.290	3	2.589
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135109.1|long_non-coding_RNA|LOC105376554|Nosynon	87.500	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104262.1|long_non-coding_RNA|CCAR1|Nosynon	88.370	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_109890.1|long_non-coding_RNA|LOC101927740|Nosynon	87.200	2	0.221
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_120408.1|non-coding_RNA|NUBPL|Nosynon	87.290	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_073114.1|long_non-coding_RNA|EPGN|Nosynon	88.020	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_132738.1|long_non-coding_RNA|LINC01759|Nosynon	100.000	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_037916.1|long_non-coding_RNA|XIAP|Nosynon	86.490	3	5.521
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_120311.1|long_non-coding_RNA|LOC102724927|Nosynon	89.580	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110049.2|long_non-coding_RNA|LOC101927415|Nosynon	85.825	4	0.782
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_134867.1|non-coding_RNA|PDDC1|Nosynon	86.315	2	0.297
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110005.1|non-coding_RNA|LRPAP1|Nosynon	86.667	3	0.815
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038370.1|long_non-coding_RNA|NDRG3|Nosynon	87.910	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_002728.3|long_non-coding_RNA|KCNQ1OT1|Synom:non-protein_coding	84.498	4	5.043
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_003090.2|long_non-coding_RNA|MOBP|Nosynon	87.765	2	3.901
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135191.1|non-coding_RNA|AP3M1|Nosynon	87.170	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_117089.1|non-coding_RNA|CD24|Nosynon	90.110	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_121658.1|non-coding_RNA|LYRM7|Nosynon	85.373	3	2.132
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_136704.1|non-coding_RNA|KLF8|Nosynon	86.125	2	3.667
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_136733.1|non-coding_RNA|TMC7|Nosynon	88.830	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110907.1|long_non-coding_RNA|LOC101927131|Nosynon	87.110	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135753.1|non-coding_RNA|LRRC28|Nosynon	86.150	2	1.416
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_120663.1|non-coding_RNA|SPATS2|Nosynon	86.860	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_134677.1|non-coding_RNA|WDR31|Nosynon	86.305	2	1.071
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033738.1|non-coding_RNA|LOC440300|Nosynon	88.780	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_047701.1|non-coding_RNA|C7orf44|Nosynon	87.210	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_073396.1|non-coding_RNA|ZNF818P|Nosynon	86.320	2	0.723
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104444.1|non-coding_RNA|CIITA|Nosynon	87.390	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_120363.1|long_non-coding_RNA|LOC101929586|Nosynon	88.040	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_052016.1|non-coding_RNA|GATAD1|Nosynon	85.530	2	1.232
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_109995.1|long_non-coding_RNA|LOC100506476|Nosynon	86.670	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_120424.1|long_non-coding_RNA|LOC101929259|Nosynon	86.935	2	0.031
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038353.1|non-coding_RNA|FAM153C|Nosynon	86.670	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038841.1|non-coding_RNA|LOC100506746|Nosynon	88.020	1	0.000
