"","interactions","mean.similarity","mean.expected.value","mean.query.length","mean.mismatches","mean.gaps","mean.bitscore","log.interactions","log.length","log.bitscore","cluster"
"NR_111980.1",1692,86.3727482269503,2.81747152916705e-33,256.499408983452,31.4940898345154,2.29078014184397,216.764775413712,7.43366654016617,5.54712636045009,5.37881278133599,3
"NR_109996.1",1215,86.3669794238683,1.8932948653482e-32,235.20329218107,30.122633744856,1.21399176954733,196.395884773663,7.10249935577465,5.460450213295,5.28013244240992,3
"NR_027671.2",1126,86.2337388987567,7.19581089525655e-33,257.5,30.6651865008881,1.75133214920071,227.401420959147,7.02642680869964,5.55101972010379,5.42671683001788,3
"NR_134868.1",1097,87.5305651777575,1.09347753165453e-32,232.208751139471,26.8514129443938,1.11850501367366,219.012762078396,7.00033446027523,5.44763675649277,5.38913000244919,3
"NR_037921.1",995,86.2431959798995,7.01773812158819e-33,258.672361809045,31.9276381909548,1.50854271356784,223.779899497487,6.90274273715859,5.55556224857574,5.41066297726645,3
"NR_027130.1",992,85.7506451612903,1.59855942837699e-32,295.844758064516,39.9375,1.75806451612903,234.224798387097,6.89972310728487,5.68983485074541,5.45628133107094,3
"NR_110837.1",973,85.672322713258,1.44452348167966e-32,241.712230215827,32.3915724563207,1.49537512846865,194.230215827338,6.880384082186,5.48774788723947,5.26904413503808,3
"NR_110049.2",956,85.7550313807531,1.43881923248717e-32,243.783472803347,32.0585774058577,1.7102510460251,196.25,6.8627579130514,5.49628042477126,5.27938935666252,3
"NR_002791.2",878,86.2016970387244,1.93379220436127e-33,263.912300683371,33.4031890660592,1.49544419134396,229.681093394077,6.77764659363512,5.57561685357637,5.43669179631209,3
"NR_002728.3",873,87.2093699885452,3.03544462650388e-33,366.707903780069,31.6414662084765,1.54066437571592,432.681557846506,6.7719355558396,5.90456562864939,6.07000202521439,3
